SL,EEG,BP,HR,CIRCULATION,ACTIVITY
70456,-8891,31,250,1817,0
59253.5,-4210,37,215,2188,4
37415,-3077,32,230,1937,0
4759.56,-1690,21,85,343,1
73774.8,-4660,20,249,3630,2
171881,-6364,59,298,6283,0
4207.91,-1474.79,123,88,318,3
280167,-9670.44,61,468,9276,5
57.7758,-734,10,33,5,4
38045.2,-3777.11,41,180,2054,5
1011.34,-905545,22,51,102,5
10342.1,-2560,38,154,587,2
20844,-4100,23,159,1159,0
16349,-2410,83,128,848,0
79185.9,-6750,48,272,3539,3
480715,-12220,182,459,14984,0
12438,-2618,23,162,769,0
301550,-10453,111,541,6647,0
12817.6,-2907.84,15,132,806,4
4858.41,-2021.67,65,93,248,0
39800.8,-3915.45,26,193,2118,4
52871.6,-5969.93,53,288,2334,5
404828,-7700,62,473,14125,4
289194,-10127.2,67,468,9276,5
75884.8,-5453.95,45,262,3211,4
87784.4,-2190,16,220,3450,3
46133,-7538,94,246,1877,0
36792.1,-3420,35,196,1997,4
159779,-9440,90,388,6290,4
5371.42,-1850.42,62,108,318,5
1387.35,-880491,30,52,133,4
113610,-3400,51,235,4905,2
12447.7,-2671.03,93,136,619,3
380879,-10542,136,500,12495,0
36702,-7769,146,242,1586,0
4052.66,-1150,45,88,292,4
27063.6,-2100,30,166,1414,5
36901.6,-1390,37,166,1414,5
32505,-5135,43,195,1692,0
16845,-5198,17,160,732,0
7286.13,-1591.47,50,93,545,2
5286.62,-2380,10,79,292,2
78883.5,-7150,45,272,3539,3
267266,-12300,76,540,8870,4
70134,-4904,20,254,3618,0
115528,-3170,50,235,4905,3
74017,-4620,29,249,3630,2
15517,-4068,82,130,929,0
30947.8,-3096.35,105,171,1747,5
17019,-3791.54,74,172,973,4
46910.9,-5867.88,68,273,2061,4
91032.2,-3950,64,254,3885,3
73398,-4120,23,249,3630,2
3380.62,-2660,16,86,205,4
8038.89,-3440,30,149,549,4
519801,-11363,122,540,18067,4
12775.4,-2606.95,82,136,619,5
130714,-7885,66,328,5736,0
20902,-5109,67,194,975,0
4994.65,-1810,23,85,343,1
7403.93,-1606.57,50,93,545,2
37855.4,-3900.42,38,180,2054,5
320484,-12276,295,451,11274,0
2199.71,-557283,12,43,161,5
51744.5,-2530,35,234,1581,2
73456.5,-4730,25,249,3630,2
10450.7,-2400,14,109,689,3
4283.81,-1210,12,79,317,3
6371,-1049,272,95,429,0
252477,-14900,60,540,8870,3
271238,-9410,93,537,8350,3
276920,-9811.32,78,468,9276,5
7516.67,-1862.49,75,104,457,2
116571,-4050,60,271,4426,2
86774,-7466,244,295,3978,0
122916,-10382,147,381,4924,0
10322.3,-2180,34,154,587,3
69196.8,-5140.29,145,247,3373,1
5206.34,-1700,21,85,343,1
9477.51,-2428.15,16,123,621,3
34990.8,-4219.96,110,208,1691,5
29756,-4681,46,219,1313,0
4401.87,-1450,23,85,343,1
16688.4,-4158.72,85,172,973,3
37379.6,-4372.96,43,193,2118,4
4368.29,-2420.2,20,120,251,0
52154.4,-3270,39,234,2464,4
410122,-12000,67,473,14125,2
78755.3,-6150,38,272,3539,3
2612,-1881,28,103,151,0
3462.14,-791143,50,51,132,2
26895.9,-2500,32,166,1414,3
113266,-2690,41,235,4905,3
2223.17,-1430.14,15,82,185,4
515831,-11523.6,141,540,18067,4
49699.9,-4120,35,234,2464,4
497075,-14524,108,584,15863,0
515656,-11623,143,540,18067,4
36728.4,-4870,37,196,1997,4
31808,-3458.64,74,176,1922,3
90443,-5230,47,254,3885,3
7463.7,-1499.3,9,80,395,0
3629.83,-993327,26,71,249,4
16694.1,-3820.62,89,172,973,3
51.5568,-308,8,33,5,1
413908,-8720,61,473,14125,2
70942.4,-5577.05,49,262,3211,5
13167.1,-1535.21,15,96,804,2
4925.47,-1340,21,85,343,1
110248,-2250,41,235,4905,4
23340,-5646,34,184,1415,0
62.7443,-331,8,33,5,4
30261.6,-3167.41,121,171,1747,5
7563.37,-1677.79,52,93,545,3
258219,-10581,61,437,9683,0
7284.91,-1800.29,67,104,457,3
197002,-8784,58,399,7458,0
1991.93,-1075.15,7,63,166,3
12088.1,-2519.82,82,128,693,3
37265.2,-3790,44,234,1581,2
7577.92,-1859.39,73,104,457,2
4189.5,-2288.99,71,101,249,4
4624,-2803,34,106,295,0
132729,-55076,59,317,5217,0
4310.01,-1650,18,88,292,1
9625.89,-2981.45,99,130,490,2
277014,-9831.27,72,468,9276,5
4525.32,-1460,24,85,343,1
136997,-7600,70,449,5537,2
74211.3,-2900,20,249,3630,2
3524,-2116,8,76,247,0
40157.3,-3120,16,196,1885,3
81023,-6669,31,280,3713,0
364880,-11564,93,524,12196,0
7569.49,-1857.88,75,104,457,2
11978.3,-2450.11,82,128,693,3
2959.33,-1232.92,47,67,224,2
94550,-7143,79,317,3382,0
7477.43,-1889.45,75,104,457,2
13434.7,-2923.19,12,148,729,3
29463,-4007,32,182,1633,0
54048,-5043,44,247,2463,0
7610.86,-1825.33,70,104,457,2
9613.02,-3049.05,95,130,490,2
2175.3,-965053,20,54,165,2
25127.8,-3057.88,39,157,1519,4
28869.5,-3414.65,33,179,1626,4
12863.9,-2720.8,15,132,806,4
26337.6,-2250,27,156,1364,4
4068.43,-2301.56,70,101,249,4
566239,-10187,177,533,12198,0
4771.93,-1040,21,85,343,1
49.4916,-422,6,33,5,1
4211.34,-1498.1,121,88,318,3
9713.31,-2836.03,20,138,554,4
58786.6,-2280,71,223,2822,5
25547,-2740,38,156,1364,4
7567.99,-1851.88,71,104,457,2
9162.46,-3048.89,16,138,554,2
8143,-2117,12,87,485,0
81349.2,-1920,53,223,2059,3
47097.7,-5868.76,55,273,2061,4
9075.62,-1840.12,70,107,517,4
59430.5,-6577.46,146,305,2610,2
13313.1,-1583.18,18,96,804,2
72243.7,-5579.48,52,262,3211,5
185051,-6699,44,335,7581,0
4220.3,-1120,21,85,343,1
38889.6,-2610,11,196,1885,2
657611,-16818,122,688,17715,0
70896.2,-5525.91,41,262,3211,5
2192.91,-1057.07,20,54,165,2
12846.8,-2813.52,15,132,806,4
4740.29,-577,24,85,343,1
12833.3,-2577.51,31,132,806,4
38842.4,-4076.11,30,193,2118,4
55037.9,-3680,43,188,2599,5
91686.8,-4790,47,254,3885,3
128057,-7850,81,351,4913,0
8744.13,-1030,38,102,516,4
143577,-7537.29,182,362,5847,4
75726,-5931,26,218,3707,0
1171.84,-948223,39,51,102,5
38794.7,-3870.93,47,180,2054,5
25614.4,-3281.69,32,174,1415,4
20246.8,-3480.91,116,163,1162,4
1385700,-21268,114,728,33059,0
72069,-5646,57,290,3544,0
228036,-13850,103,499,7348,0
137566,-7700,84,449,5537,2
16583.6,-18.9875,82,172,973,4
118292,-4210,61,271,4426,2
231460,-4190,89,537,8350,3
37821,-5426,66,205,2124,0
51208.7,-3610,34,188,2599,2
140147,-4000,36,315,5844,4
9606.61,-2936.54,99,130,490,2
2187.72,-1103.97,20,54,165,2
24852.2,-3251.15,27,157,1519,3
15298,-3834,51,121,931,0
13298,-3344,9,112,549,0
40390,-7238,49,240,1582,0
6956.61,-1702.29,52,93,545,2
11113.6,-1872.88,23,102,764,4
15478,-3906,24,172,894,0
51842.8,-2740,42,234,2464,3
9882.37,-2404.46,12,123,621,3
227021,-15977,252,513,8096,0
6654,-4397,40,129,456,0
49618.3,-3860,37,234,2464,3
162367,-9070,92,388,6290,4
40273,-6613,122,227,1696,0
3418.66,-839112,48,51,132,2
16196,-3019,16,161,807,0
10330.6,-3110,13,109,689,3
60112.4,-4820,27,247,2754,3
48184,-5250,28,216,2677,3
112364,-7775,56,314,4531,0
20527,-2033,36,146,974,0
80112.8,-5100,57,272,3539,3
6453.29,-2191.89,32,108,428,5
17039.7,-3778.75,76,172,973,4
266000,-8110,98,537,8350,3
84367,-9093,56,318,3630,0
9532.7,-2992.36,94,130,490,2
39535.8,-3861.01,18,193,2118,4
103575,-5741.5,158,281,4061,4
25312.1,-3174.19,22,157,1519,3
3397.3,-794783,50,51,132,2
33827.2,-2820,35,234,1581,2
62008.1,-4360,31,247,2754,3
80386.8,-6954.92,74,320,3466,5
115200,-5100,50,271,4426,3
54628.6,-2060,45,223,2822,5
84966,-10054,105,263,3463,0
143274,-6598,38,307,3387,0
28865.4,-3770,38,194,1521,5
29307,-4500,95,172,1518,0
518641,-12067.5,155,540,18067,4
30545,-2599,109,169,1803,0
454805,-12489,321,431,15329,0
27242.4,-2390,25,194,1521,4
75670,-8383,79,336,3138,0
28863,-3510.26,37,179,1626,5
135908,-8962,216,360,5741,0
1467.78,-1017.12,41,52,133,2
79824.2,-5330,60,272,3539,4
5116.51,-1450,9,79,292,2
4348.81,-963,16,88,292,2
14222.2,-2325.44,82,120,809,3
12122.5,-2664.17,92,136,619,3
4241.31,-1305.46,21,72,340,4
344844,-11200,98,462,11563,5
93905.4,-6350,64,254,3885,4
30453.9,-3463.71,124,171,1747,5
38441.8,-4175.54,15,193,2118,3
145974,-6137.42,155,308,6057,4
70743.7,-4933.32,132,247,3373,2
141057,-5580,41,315,5844,3
161376,-10600,80,388,6290,3
24740.8,-458,10,166,1111,4
144768,-6097.41,141,308,6057,5
494750,-14639,62,542,16953,0
46563.7,-2230,52,234,1581,2
591959,-14770,191,457,16028,0
39620.7,-3743.22,47,193,2118,5
50854.4,-4540,47,234,2464,3
58486.3,-4398.11,125,217,2904,2
478330,-10700,49,483,15505,4
33585.7,-3396.91,94,176,1922,4
29103.4,-3437.35,32,179,1626,5
29072,-5773,44,235,1420,0
34830.3,-2390,45,234,1581,2
22500.9,-2530,40,182,1212,5
1937.07,-935851,15,63,166,4
43555,-5765,149,214,2321,0
29051.4,-1910,28,156,1364,4
77230,-5515,47,311,2838,0
44735,-4333,86,192,2189,0
31797.8,-2740,22,166,1414,3
3208.69,-1204.71,34,71,249,4
45871.5,-5967.42,64,273,2061,4
15756.6,-2674.61,74,134,970,4
26868.8,-2985.45,91,158,1403,4
78736.1,-4740,50,272,3539,4
1938.59,-1067.77,5,63,166,3
38137.2,-4073.49,25,193,2118,3
40307,-4290,78,215,2188,4
1981.51,-1069.25,5,63,166,3
37445.8,-2380,17,196,1885,3
2190.41,-1454.23,11,82,185,4
11544,-3663,59,127,653,0
25865.2,-3391.44,23,174,1415,4
17177.1,-4294.06,35,183,931,1
14020.3,-2332.5,87,120,809,2
47388.9,-5794.73,69,273,2061,4
144608,-6046.98,163,308,6057,4
408958,-8910,60,473,14125,2
57825.7,-3520,41,224,2192,4
7518.67,-1790.13,72,104,457,2
13316.5,-1572.47,18,96,804,2
6822,-2320,14,105,427,0
45220,-4921,28,215,2188,0
14284.6,-2382.32,90,120,809,3
50058.1,-2650,37,188,2599,4
87896.6,-2770,25,220,3450,3
160387,-10200,90,388,6290,4
14244,-1943,10,125,807,0
39352.3,-3954.48,27,193,2118,4
407109,-8020,67,473,14125,4
52.8204,-322,92,33,5,4
4674,-2651.07,29,131,271,4
4780.96,-2568.96,26,131,271,5
165250,-5893,52,347,6860,0
2753.8,-1261.78,51,67,224,2
59814.7,-5831.28,101,305,2610,2
148379,-8753,58,330,5848,0
11172.4,-3092.27,34,156,654,4
145010,-4650,48,315,5844,4
4693.53,-1740,21,85,343,1
5223.46,-1170,21,85,343,1
4178.98,-930,12,79,317,3
30720.1,-3181.36,127,171,1747,5
140936,-4070,49,315,5844,3
103695,-2030,15,220,3450,3
116524,-4330,53,271,4426,3
178377,-6020,78,403,6746,3
5030.64,-2228,68,107,346,2
167580,-5752,77,294,6059,0
58068.7,-2640,37,223,2822,5
18966,-4673,98,176,977,0
55579.1,-4320,29,216,2677,4
27117,-4772,40,210,1364,0
3290.29,-1186.44,34,71,249,3
18590,-4292,16,189,978,0
8874.15,-1903.26,79,107,517,4
1456.54,-1003.08,42,52,133,2
83968,-6787,61,313,3554,0
13431.3,-2693.1,20,132,806,5
177271,-7260,70,403,6746,3
10391.2,-2960,16,109,689,3
114554,-5840,42,322,4619,4
93977.7,-5579.09,35,294,4249,4
37824.9,-3630,43,196,1997,4
51273,-5671,158,251,2260,0
9260.59,-3179.46,14,138,554,2
27920.8,-2430,28,194,1521,4
410917,1410000,59,473,14125,3
11157.8,-1920.54,23,102,764,4
47501.2,-5812.41,69,273,2061,4
6992.2,-1620,138,109,486,5
410665,-9050,61,473,14125,2
140775,-4730,43,315,5844,3
171353,-9968,227,386,6756,0
4461.77,-774,17,88,292,5
36759,-3171,24,211,1814,0
12000.1,-2570.18,80,128,693,2
5770.63,-931,24,86,205,5
12036.8,-1835.81,8,105,765,2
2228.21,-1063.44,21,54,165,2
72585.8,-5496.1,48,262,3211,5
6586,-2842,49,109,398,0
11829.1,-2670.43,80,128,693,3
149348,-8617,49,302,5522,0
2262.54,-1082.09,20,54,165,2
414973,-13037,74,510,12351,0
25745,-4448,85,168,1358,0
25283.3,-3296.3,32,157,1519,3
26203,-3733,120,180,1467,0
154148,-9426,243,353,6402,0
59305,-5428,25,233,3050,0
138947,-8890,74,449,5537,2
1268.52,-685896,30,40,100,2
152059,-8900,76,449,5537,2
57010,-3265,41,203,3127,0
73523.1,-4890,22,249,3630,1
12473.5,-2615.97,87,136,619,5
238998,-9530,39,364,4346,0
115335,-3770,74,271,4426,3
5264.1,-2820,9,79,292,2
30451,-4809,39,202,1522,0
5243.29,-1680,11,79,292,2
79840,-5845,94,234,3131,0
481444,-12200,54,483,15505,4
65071,-8355,54,247,3453,0
404936,-7470,76,473,14125,5
41491,-4313,19,181,2054,0
2223.47,-1024.01,21,54,165,2
1302,-1887,20,79,104,0
141340,-7339,108,296,5330,0
60283.3,-6546.08,149,305,2610,3
20653.7,-3485.8,82,163,1162,4
59651,-7529,163,253,2616,0
11321.2,-3083.79,34,156,654,4
54731.8,-4580,37,215,2188,3
49578.5,-3670,50,234,2464,3
142701,-6188.56,162,308,6057,3
14129,-2317.84,84,120,809,3
256569,-13300,75,540,8870,3
7305.15,-1360,160,109,486,4
80613.6,-6910,44,272,3539,3
27742.7,-2230,41,194,1521,5
36450.6,-3750,40,196,1997,5
262096,-10118,53,381,9528,0
414544,-9390,65,473,14125,2
37775.9,-3240,40,196,1997,3
36372.3,-3900,45,196,1997,5
40585.3,-2220,15,196,1885,3
9097.98,-1500,23,102,516,4
110774,-7023,33,278,4812,0
2190.91,-1165.78,20,54,165,2
161914,-6605.2,88,352,6744,2
51307.2,-4385.57,103,209,2534,4
57664.2,-2770,66,224,2192,5
4720.13,-2728.62,28,131,271,5
4021.47,-1960,30,86,205,5
38695.3,-2460,51,234,1581,4
5173.9,-2226.34,53,107,346,3
21828.5,-1690,32,182,1212,5
42680.1,-2500,40,166,1414,3
2138.49,-1031.18,20,54,165,2
143207,-7120,32,258,5830,0
4176.24,-1762.98,40,101,270,5
150343,-8497,93,400,5432,0
49361.6,-6710,23,216,2677,3
86323,-7748,34,268,4154,0
136149,-8800,84,449,5537,2
58.5141,-623,6,33,5,2
50262,-4365,35,190,2743,0
9226.97,-3064.06,17,138,554,2
38760.1,-2490,15,196,1885,3
285763,-9753.72,66,468,9276,5
10812.7,-2871.65,86,139,587,4
317360,-16561,81,509,10544,0
13454.3,-1517.99,19,96,804,2
141274,-4170,52,315,5844,3
161688,-8436.98,66,362,6628,0
68219.7,-5412.34,147,247,3373,1
27160.8,-4184.05,40,214,1469,4
12825.5,-2796.23,15,132,806,4
76091,-4580,49,264,3217,3
109946,-2360,49,235,4905,4
10569,-3857,42,140,551,0
73589.5,-5200,23,249,3630,2
61063.9,-4190,36,247,2754,3
59264,-3817.53,142,217,2904,4
4711.77,-2672.13,28,131,271,5
25353.9,-2070,30,156,1364,4
44695.9,-3270,46,223,2059,2
2128.64,-590969,6,43,161,5
4368.46,-1530,16,88,292,2
10264.1,-2469.09,92,130,490,3
4296.31,-779,17,88,292,2
25912.3,-3461.2,41,174,1415,4
56569.5,-5541.63,147,237,2672,0
117209,-9093,98,330,4342,0
17217.3,-4249.31,34,183,931,1
8210,-3273,9,101,552,0
4758.76,-2622.22,29,131,271,5
24159.7,-1850,16,166,1111,2
49744.8,-4830,20,216,2677,4
39749.4,-2670,21,196,1885,3
181287,-10630,55,369,6864,0
76982.3,-5463.12,30,262,3211,4
17301.1,-3875.18,74,172,973,5
2333,-1756,34,70,185,0
48070.4,-3870,27,216,2677,3
71670.7,-5633.36,28,262,3211,5
24391,-2504,42,208,1313,0
17663,-4147,19,140,976,0
54.2518,-206,97,33,5,5
12060.1,-1796.65,8,105,765,2
34451.5,-3640,39,234,1581,2
4241.36,-1700,11,79,317,2
7565.56,-1856.68,75,104,457,2
4979.95,-2163.32,70,107,346,2
20773,-3487.55,95,163,1162,4
1455.87,-1014.92,41,52,133,2
26580.7,-2746.3,84,156,1521,4
38082.4,-3745.91,38,180,2054,5
472877,-12700,66,483,15505,2
53612.6,-4354.29,98,209,2534,5
237798,-10300,94,537,8350,3
112293,-5880,38,322,4619,4
4163,-1230,10,79,317,2
63931,-2500,40,223,2822,4
57384,-6187,20,180,1167,0
7955.4,-2420,149,109,486,5
9530.12,-2773.12,30,138,554,3
154154,-9347,42,374,6081,0
25515.5,-2440,45,156,1364,5
34852.2,-4364.53,126,208,1691,4
65222,-5748,23,237,2605,0
200707,-9020,42,390,7459,4
37952,-4176.05,137,205,1751,2
4357.15,-1320,17,88,292,2
19827.7,-3447.26,90,163,1162,2
141314,-4882,47,316,5745,0
2159.25,-1081.34,21,54,165,2
45723.8,-5716.25,64,273,2061,4
763828,-18757,115,781,21881,0
12123.3,-2675.4,92,136,619,3
49199.7,-4070,29,216,2677,4
4019.26,-2310.3,77,101,249,5
34998,-4258.93,108,208,1691,5
235158,-10324,29,369,5746,0
4865.13,-1800,21,85,343,1
7158.67,-1703.19,53,93,545,4
7629.94,-1872.51,73,104,457,2
137724,-7440,135,286,5740,0
423321,-12982,417,572,14146,0
64623,-4787,10,191,1931,0
43054,-5552,45,215,2060,0
14815,-2746,25,149,851,0
27605,-2969.12,98,158,1403,4
35117,-4253.81,114,208,1691,5
111900,-5920,51,271,4426,4
256695,-8108,78,389,9131,0
46.5214,-368,96,33,5,4
13613.1,-1548.68,21,96,804,4
30531.7,-3416.92,128,171,1747,5
32363,-4333.08,119,204,1692,3
70136.3,-5516.14,53,262,3211,5
68794.6,-5181.19,139,247,3373,1
11105,-1861.25,22,102,764,4
4753.5,-1180,22,85,343,1
7030.36,-2085.07,74,104,457,0
13600.3,-1532.9,14,96,804,4
118079,-3790,74,271,4426,4
160948,-9740,86,388,6290,3
1935.45,-1063.05,5,63,166,3
14490,-2217,71,134,888,0
5084.08,-2207.19,52,107,346,3
60.1403,-467,96,33,5,4
78731,-5380,45,272,3539,3
106178,-8856,50,308,4156,0
26425.7,-2330,33,156,1364,3
130000,-7850,263,367,5532,0
9881.98,-2369.92,25,123,621,4
54158.3,-1670,34,188,2599,4
4351.97,-349,14,88,292,2
185944,-7460,166,307,6856,0
7227,-2002,20,100,516,0
74591,-4341,109,287,2983,0
92624,-5161,50,263,4520,0
1009300,-18029,117,708,25126,0
60291.3,-573,36,215,2188,3
25189.9,-3175.87,28,157,1519,2
109954,-7245,48,323,4253,0
9557.69,-3099.61,18,138,554,3
121366,-6314.78,172,281,4717,0
170902,-6320,78,403,6746,3
13016.7,-2700.57,15,132,806,4
9347.69,-3017.66,21,138,554,2
45691.9,-5888.89,69,273,2061,3
3356,-925,10,68,270,0
4361.63,-1201.04,23,72,340,5
148518,-9670,65,449,5537,2
4266.8,-1690,14,88,292,1
50286.6,-4460,32,216,2677,3
46654,-6641,83,200,2457,0
7230.21,-1890,162,109,486,4
9130.03,-1886.23,72,107,517,5
49985,-6097,23,208,2395,0
2264.52,-1396.77,20,82,185,4
149213,-11081,68,367,6073,0
28294.9,-2730,31,156,1364,5
35235.1,-4411.58,128,208,1691,4
34473,-4213.41,136,208,1691,4
7669.3,-1828.78,74,104,457,2
159044,-6483.62,153,352,6744,3
48451.7,-6390,23,215,2188,3
28616.6,-3400.65,36,179,1626,4
44945,-4787,88,188,2318,0
288349,-8569,108,465,10110,0
39742,-5417,21,177,1803,0
4860,-4035,27,109,348,0
516052,-11610,143,540,18067,4
73241.2,-5475.9,40,262,3211,5
4379.63,-2030,20,85,343,1
234683,-9450,103,537,8350,4
114650,-4170,53,271,4426,2
5247.23,-2079.13,58,107,346,2
20487.8,-3544.21,72,163,1162,4
25684.6,-1730,35,166,1414,4
98688,-8539,60,262,3544,0
411969,-12520,167,563,12827,0
72796.3,-5459.72,32,262,3211,5
2247.24,-1071.64,20,54,165,2
2199.18,-915964,23,54,165,2
16412,-3153,9,117,1014,0
49982.7,-3530,21,216,2677,3
61095,-4701,46,218,3134,0
45780,-3514,31,177,1748,0
167745,-6200.99,88,352,6744,3
88949.2,-3330,28,220,3450,4
38066,-3753.02,37,180,2054,5
231044,-8560,115,537,8350,3
11850.1,-2476.74,80,128,693,4
131366,-7171,54,363,5639,0
37616,-5401,26,190,1523,0
519410,-11061.7,131,540,18067,4
102502,-5831.38,159,281,4061,5
68179.6,-5333.04,144,247,3373,1
17392.5,-4163.45,32,183,931,1
72589,-7119,118,331,3060,0
9210.41,-3105.06,16,138,554,2
254178,44500,79,540,8870,3
94060.8,-4030,61,254,3885,4
7614.94,-555,148,109,486,4
5428,-2278,12,99,345,0
10806,-2662,3,98,654,0
33933.1,-2600,31,234,1581,2
411237,-11000,66,473,14125,2
30523.4,-1998.35,27,132,1513,4
42777,-4746,15,199,1990,0
140075,-5870,41,315,5844,3
164435,-7960.19,73,352,6744,2
4312.81,-1810,11,79,317,2
55617.3,-1920,63,224,2192,3
52099.7,-6127.63,53,288,2334,4
466494,-14581,305,497,16216,0
25588.9,-3399.54,29,174,1415,4
3223.93,-1121.02,40,71,249,3
77840,-4997,40,280,3296,0
46587,-3634,27,205,2461,0
33361.3,-3561.38,90,176,1922,4
519895,-11320.2,140,540,18067,4
71496.3,-5798.77,46,262,3211,5
95559.3,-5755.27,52,294,4249,4
95724,-9819,55,335,3630,0
475519,-11300,42,483,15505,3
11990.8,-2554.03,82,128,693,3
10529.4,-2884.57,81,139,587,5
220828,-13509,81,425,7710,0
55741,-6062,65,258,2327,0
142796,-6512.06,162,308,6057,4
140117,-6000,42,315,5844,3
131986,-7895,211,329,5319,0
9639.06,-2912.97,26,138,554,4
51892.9,-3510,46,234,2464,3
53.3437,-464,96,33,5,3
38095.7,-3780.58,39,180,2054,4
96460.7,-5585.67,49,294,4249,4
10557,-2640,36,154,587,3
35050.4,-4261.17,110,208,1691,5
92170,-7301,104,271,4246,0
32699,-4777,108,173,1752,0
104812,-7817,238,305,4343,0
161450,-8290,93,388,6290,4
2175.72,-1149.54,20,54,165,1
9140.55,-1500,27,102,516,4
3846,-2015,14,97,250,0
351603,-7160,128,462,11563,4
92534,-5812,50,271,3224,0
1493.97,-598478,29,40,100,4
51846.3,-2710,41,234,2464,3
4177.18,-1536.75,124,88,318,2
12580,-2693,15,118,842,0
232975,-5700,100,537,8350,3
296485,-14178,373,512,10113,0
11972.4,-2506.61,86,128,693,2
3504.11,-795696,47,51,132,3
4754.4,-2609.58,26,131,271,4
55984.5,-3080,69,224,2192,4
10465.6,-2825.78,98,130,490,4
33415.1,-3555.88,95,176,1922,4
5419,-2355,10,101,345,0
38114.4,-4114.98,21,193,2118,2
476114,-12200,50,483,15505,3
65693,-183,96,33,5,4
527254,-16245,130,710,15353,0
35802.9,-4247.35,112,208,1691,5
253730,-10642,71,381,9943,0
41258,-5933,16,187,1993,0
16570,-2665,42,136,1018,0
59315,-5338,114,211,2740,0
139741,502,35,315,5844,5
157945,-10200,73,449,5537,2
1937.55,-1063.74,5,63,166,3
11577,-3158,16,122,696,0
35996,-2427,37,177,2051,0
6141,-1451,12,80,341,0
52064,-621,57,224,2192,3
6830.19,-1406.09,15,80,395,4
17369.1,-4238.32,31,183,931,1
3336.38,-1087.31,44,71,249,4
8188,-1207,12,71,515,0
144518,-6290.72,139,308,6057,4
2356,-1619,10,65,150,0
280396,-9132.62,82,468,9276,4
9503.98,-2858.03,100,130,490,2
29200.3,-1880,37,166,1414,3
2196.31,-555915,3,43,161,5
9348.13,-3127.33,16,138,554,2
1495.96,-909982,35,52,133,3
4225.47,-1500,14,88,292,1
18841,-3490,14,138,1110,0
58251.6,-4730,34,215,2188,3
37570.7,109,51,234,1581,3
74678,-4817,16,222,3366,0
16468.4,-2811.69,83,142,844,2
9522.13,-2986.22,95,130,490,2
64611,-5063,46,231,3053,0
4049.34,-2251.81,74,101,249,4
26636.5,-4237.4,51,214,1469,3
85707,-6552,164,305,3803,0
12012.1,-2542.76,88,128,693,2
31014,-3056,79,161,1804,0
91527,-6336,133,339,3458,0
10287.3,-3370,16,109,689,3
275942,-11019,215,436,8996,0
12502.2,-1774.82,25,105,765,3
291266,-9727.3,77,468,9276,5
17737.8,-2660.87,82,142,844,5
26608.9,-4281.4,57,214,1469,4
410199,-8750,63,473,14125,2
13444.4,-1539.48,25,96,804,3
7460.46,-2180,159,109,486,4
161666,-6412.64,116,352,6744,2
74422.3,-4490,27,249,3630,3
471601,-11200,49,483,15505,3
96727,-6876,30,258,3293,0
452399,-13753,109,568,15336,0
2001.59,-1078.17,5,63,166,3
476713,-7720,49,483,15505,3
7581.84,-1546.63,47,93,545,3
35534,-1313,59,202,1870,0
99426,-6255,56,321,3630,0
108562,-5961,99,302,5020,0
15679.7,-2701.19,76,134,970,4
15573,-3385,22,121,1020,0
101596,-5575,48,278,4152,0
52146.2,-6101.72,59,288,2334,5
33803,-3810,34,207,1699,0
3338,-2380,18,70,205,0
405883,-7880,66,473,14125,3
39036.1,-3100,15,196,1885,3
145346,-3490,53,315,5844,4
50162.8,-4590,18,216,2677,3
294959,-2944,232,456,10389,0
3129.03,-1145.08,30,71,249,3
27492,-4952,27,196,1686,0
10548.6,-2690,36,154,587,3
11061,-3037,18,120,691,0
59501.3,-7530,35,247,2754,3
11988.2,-2591.7,77,128,693,3
515806,-11536.7,146,540,18067,4
13176.7,-2523.22,20,132,806,4
13775.1,-1559.65,13,96,804,3
115159,-4870,55,271,4426,3
50718.9,-2120,20,188,2599,4
117228,-4280,58,271,4426,2
73805,-5510,27,249,3630,2
10801.8,-1915.47,13,102,764,4
57790.5,-4539.02,142,217,2904,2
115989,-2190,42,235,4905,4
28768.8,-3491.35,35,179,1626,4
71106.5,-5635.92,51,262,3211,5
70481.2,-5604,51,262,3211,5
27644,-827,29,166,1111,4
161292,-9980,92,388,6290,4
131868,-7651,37,316,5521,0
4425.25,-980,21,88,292,2
140468,-5200,47,315,5844,3
33306,-2911,100,206,1212,0
14924,-3772,43,112,799,0
32852.1,-3474.2,83,176,1922,4
34489,-4138,33,184,1577,0
116835,-10580,249,369,5013,0
115732,-4880,58,271,4426,3
55979,-6808,361,275,2130,0
27493.5,-2864.18,87,158,1403,4
25388,-4840,41,213,1068,0
516395,-11582.6,146,540,18067,4
534974,-16865,207,517,16579,0
26152.2,-3270.29,34,174,1415,4
9955.32,-2390.69,12,123,621,3
5698,-2515,17,110,319,0
13107,-2654.94,21,132,806,5
47073.9,-5715.35,67,273,2061,4
617204,-19392,168,701,15881,0
27872,-4257,47,181,1418,0
4335.57,-1917.18,56,101,270,5
30393.4,-3346.96,128,171,1747,5
7160.46,-901,153,109,486,5
13557.3,-1473.61,13,96,804,2
4931.51,-1490,24,85,343,1
26786.1,-2878.63,81,158,1403,4
61262.7,-4400,52,247,2754,4
50476.4,-5010,27,215,2188,3
60238,-8040,41,280,2899,0
2921.23,-1236.58,39,67,224,3
10486.3,-1660,40,154,587,2
46394.6,-2660,35,223,2059,3
472235,-11800,44,483,15505,3
1472.15,-1553.82,11,76,147,5
7439.96,-1575.71,48,93,545,3
6011,-3147,25,106,297,0
7217.49,-1668.76,52,93,545,4
